ID;Code;Omschrijving;Groep;D_BEGIN;D_EIND;D_STATUS
1;"K0";"Territoriaal kustwater buiten 1-mijlzone";"zout";11-07-2013;;"G"
2;"K1";"Open polyhalien kustwater";"zout";01-10-2011;;"G"
3;"K2";"Beschut polyhalien kustwater";"zout";01-10-2011;;"G"
4;"K3";"Euhalien kustwater";"zout";01-10-2011;;"G"
5;"M10";"Laagveen vaarten en kanalen";"zoet";01-10-2011;;"G"
6;"M11";"Kleine ondiepe gebufferde plassen";"zoet";01-10-2011;;"G"
7;"M12";"Kleine ondiepe zwak gebufferde plassen (vennen)";"zoet";01-10-2011;;"G"
8;"M13";"Kleine ondiepe zure plassen (vennen)";"zoet";01-10-2011;;"G"
9;"M14";"Grote ondiepe gebufferde plassen";"zoet";01-10-2011;;"G"
10;"M16";"Diepe gebufferde meren";"zoet";01-10-2011;;"G"
11;"M17";"Diepe zwakgebufferde meren";"zoet";01-10-2011;;"G"
12;"M18";"Diepe zure meren";"zoet";01-10-2011;;"G"
13;"M19";"Diepe meren in open verbinding met rivier";"zoet";01-10-2011;;"G"
14;"M1a";"Zoete gebufferde sloten";"zoet";01-10-2011;;"G"
15;"M1b";"Niet-zoete gebufferde sloten";"zoet";01-10-2011;;"G"
16;"M2";"Zwak gebufferde sloten (poldersloten)";"zoet";01-10-2011;;"G"
17;"M20";"Matig grote diepe gebufferde meren";"zoet";01-10-2011;;"G"
18;"M21";"Grote diepe gebufferde meren (vervalt per 2022, gebruik liever M21a of b)";"zoet";21-12-2018;;"G"
59;"M21a";"Grote diepe gebufferde meren zonder verbinding met zee";"zoet";12-12-2018;;"G"
60;"M21b";"Grote diepe gebufferde meren met verbinding met zee";"zoet";12-12-2018;;"G"
19;"M22";"Kleine ondiepe kalkrijke plassen";"zoet";01-10-2011;;"G"
20;"M23";"Grote ondiepe kalkrijke plassen";"zoet";01-10-2011;;"G"
21;"M24";"Diepe kalkrijke meren";"zoet";01-10-2011;;"G"
22;"M25";"Ondiepe laagveenplassen";"zoet";01-10-2011;;"G"
23;"M26";"Ondiepe zwak gebufferde hoogveenplassen/vennen";"zoet";01-10-2011;;"G"
24;"M27";"Matig grote ondiepe laagveenplassen";"zoet";01-10-2011;;"G"
25;"M28";"Diepe laagveenmeren";"zoet";01-10-2011;;"G"
26;"M29";"Matig grote diepe laagveenmeren";"zoet";01-10-2011;;"G"
27;"M3";"Gebufferde (regionale) kanalen";"zoet";01-10-2011;;"G"
28;"M30";"Zwak brakke wateren";"zoet";01-10-2011;;"G"
29;"M31";"Kleine brakke tot zoute wateren";"zout";01-10-2011;;"G"
30;"M32";"Grote brakke tot zoute meren";"zout";01-10-2011;;"G"
31;"M4";"Zwak gebufferde (regionale) kanalen";"zoet";01-10-2011;;"G"
32;"M5";"Ondiep lijnvormig water, open verbinding met rivier/ geïnundeerd";"zoet";01-10-2011;;"G"
33;"M6a";"Grote ondiepe kanalen zonder scheepvaart";"zoet";01-10-2011;;"G"
34;"M6b";"Grote ondiepe kanalen met scheepvaart";"zoet";01-10-2011;;"G"
35;"M7a";"Grote diepe kanalen zonder scheepvaart";"zoet";01-10-2011;;"G"
36;"M7b";"Grote diepe kanalen met scheepvaart";"zoet";01-10-2011;;"G"
37;"M8";"Gebufferde laagveensloten";"zoet";01-10-2011;;"G"
38;"M9";"Zwak gebufferde hoogveen sloten";"zoet";01-10-2011;;"G"
39;"O1";"Estuarium met beperkt getijverschil";"zout";01-10-2011;;"G"
40;"O2";"Estuarium met matig getijverschil (vervalt per 2022, gebruik liever O2a of b)";"zout";21-12-2018;;"G"
61;"O2a";"Estuarium met matig getijverschil, met getijstroming en of zonder dominant effect van scheepvaart.";"zout";12-12-2018;;"G"
62;"O2b";"Estuarium met matig getijverschil en met scheepvaart en of geen getijdestroming";"zout";12-12-2018;;"G"
41;"R1";"Droogvallende bron";"zoet";01-10-2011;;"G"
42;"R10";"Langzaam stromende middenloop op kalkhoudende bodem";"zoet";01-10-2011;;"G"
43;"R11";"Langzaam stromende bovenloop op veenbodem";"zoet";01-10-2011;;"G"
44;"R12";"Langzaam stromende middenloop/benedenloop op veenbodem";"zoet";01-10-2011;;"G"
45;"R13";"Snelstromende bovenloop op zand";"zoet";01-10-2011;;"G"
46;"R14";"Snelstromende middenloop/benedenloop op zand";"zoet";01-10-2011;;"G"
47;"R15";"Snelstromend riviertje op kiezelhoudende bodem";"zoet";01-10-2011;;"G"
48;"R16";"Snelstromende rivier/nevengeul op zandbodem of grind";"zoet";01-10-2011;;"G"
49;"R17";"Snelstromende bovenloop op kalkhoudende bodem";"zoet";01-10-2011;;"G"
50;"R18";"Snelstromende middenloop/benedenloop op kalkhoudende bodem";"zoet";01-10-2011;;"G"
65;"R19";"Doorstroommoeras";"zoet";12-12-2018;;"G"
51;"R2";"Permanente bron";"zoet";01-10-2011;;"G"
66;"R20";"Moerasbeek";"zoet";12-12-2018;;"G"
52;"R3";"Droogvallende langzaam stromende bovenloop op zand";"zoet";01-10-2011;;"G"
53;"R4";"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)";"zoet";21-12-2018;;"G"
63;"R4a";"Permanente langzaam stromende laagland bovenloop op zand";"zoet";12-12-2018;;"G"
64;"R4b";"Permanente langzaam stromende heuvelland bovenloop op zand";"zoet";12-12-2018;;"G"
54;"R5";"Langzaam stromende middenloop/benedenloop op zand";"zoet";01-10-2011;;"G"
55;"R6";"Langzaam stromend riviertje op zand/klei";"zoet";01-10-2011;;"G"
56;"R7";"Langzaam stromende rivier/nevengeul op zand/klei";"zoet";01-10-2011;;"G"
57;"R8";"Zoet getijdenwater (uitlopers rivier) op zand/klei";"zoet";01-10-2011;;"G"
58;"R9";"Langzaam stromende bovenloop op kalkhoudende bodem";"zoet";01-10-2011;;"G"
